	Gene	Description
GRPE2	GRPEL2	GrpE protein homolog 2, mitochondrial
LKAM1	LKAAEAR1	Protein LKAAEAR1
TMC1	TMC1	Transmembrane channel-like protein 1
PAQR8	PAQR8	Membrane progestin receptor beta
LPIN2	LPIN2	Phosphatidate phosphatase LPIN2
YIPF5	YIPF5	Protein YIPF5
RMD1	RMDN1	Regulator of microtubule dynamics protein 1
ADTRP	ADTRP	Androgen-dependent TFPI-regulating protein
TBCB	TBCB	Tubulin-folding cofactor B
MPH6	MPHOSPH6	M-phase phosphoprotein 6
ALG8	ALG8	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
COPA1	COL25A1	Collagen alpha-1(XXV) chain
SMIM3	SMIM3	Small integral membrane protein 3
FTO	FTO	Alpha-ketoglutarate-dependent dioxygenase FTO
TMPS5	TMPRSS5	Transmembrane protease serine 5
TRABD	TRABD	TraB domain-containing protein
KLH31	KLHL31	Kelch-like protein 31
NPDC1	NPDC1	Neural proliferation differentiation and control protein 1
TMPS4	TMPRSS4	Transmembrane protease serine 4
SPAT7	SPATA7	Spermatogenesis-associated protein 7
AT10D	ATP10D	Phospholipid-transporting ATPase VD
HOP2	PSMC3IP	Homologous-pairing protein 2 homolog
RPGFL	RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
GGT7	GGT7	Glutathione hydrolase 7
FBXL2	FBXL2	F-box/LRR-repeat protein 2
GAB2	GAB2	GRB2-associated-binding protein 2
FYV1	PIKFYVE	1-phosphatidylinositol 3-phosphate 5-kinase
RAP2C	RAP2C	Ras-related protein Rap-2c
CV024	YWHAH-AS1	Putative uncharacterized protein YWHAH-AS1
WIPI2	WIPI2	WD repeat domain phosphoinositide-interacting protein 2
HCFC2	HCFC2	Host cell factor 2
CBPQ	CPQ	Carboxypeptidase Q
NCOA3	NCOA3	Nuclear receptor coactivator 3
A0A075B6W8	TRAJ17	T cell receptor alpha joining 17 (Fragment)
A0A1B0GV96	LOC105371267	Uncharacterized protein
ERVV2	ERVV-2	Endogenous retrovirus group V member 2 Env polyprotein
SMAP	SMAP	Small acidic protein
ODPX	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial
PLXB2	PLXNB2	Plexin-B2
TXNL1	TXNL1	Thioredoxin-like protein 1
BRD4	BRD4	Bromodomain-containing protein 4
SPF30	SMNDC1	Survival of motor neuron-related-splicing factor 30
CLPX	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial
SRP72	SRP72	Signal recognition particle subunit SRP72
CSPG5	CSPG5	Chondroitin sulfate proteoglycan 5
ATE1	ATE1	Arginyl-tRNA--protein transferase 1
A2MG	A2M	Alpha-2-macroglobulin
TRAC	TRAC	T cell receptor alpha chain constant
RPN2	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
APOD	APOD	Apolipoprotein D
NPM	NPM1	Nucleophosmin
ST1A3	SULT1A3	Sulfotransferase 1A3
NFH	NEFH	Neurofilament heavy polypeptide
AT1B2	ATP1B2	Sodium/potassium-transporting ATPase subunit beta-2
INAR1	IFNAR1	Interferon alpha/beta receptor 1
PZP	PZP	Pregnancy zone protein
PSA1	PSMA1	Proteasome subunit alpha type-1
RYK	RYK	Tyrosine-protein kinase RYK
ADA1A	ADRA1A	Alpha-1A adrenergic receptor
RL3	RPL3	60S ribosomal protein L3
MAOX	ME1	NADP-dependent malic enzyme
FMO5	FMO5	Flavin-containing monooxygenase 5
RL14	RPL14	60S ribosomal protein L14
IST1	IST1	IST1 homolog
EMP1	EMP1	Epithelial membrane protein 1
MTP	MTTP	Microsomal triglyceride transfer protein large subunit
PEX3	PEX3	Peroxisomal biogenesis factor 3
O10A3	OR10A3	Olfactory receptor 10A3
RAB5B	RAB5B	Ras-related protein Rab-5B
BL1S1	BLOC1S1	Biogenesis of lysosome-related organelles complex 1 subunit 1
PRCD	PRCD	Photoreceptor disk component PRCD
MUC2	MUC2	Mucin-2
MN1	MN1	Transcriptional activator MN1
JOS1	JOSD1	Josephin-1
P2RY6	P2RY6	P2Y purinoceptor 6
PA1B3	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1
NFE2	NFE2	Transcription factor NF-E2 45 kDa subunit
IF16	IFI16	Gamma-interferon-inducible protein 16
GON4L	GON4L	GON-4-like protein
S36A3	SLC36A3	Proton-coupled amino acid transporter 3
DNAL1	DNAL1	Dynein axonemal light chain 1
ARSJ	ARSJ	Arylsulfatase J
XKR6	XKR6	XK-related protein 6
CBWD3	CBWD3	COBW domain-containing protein 3
F209A	FAM209A	Protein FAM209A
HCP5	HCP5	HLA class I histocompatibility antigen protein P5
CH074	C8orf74	Uncharacterized protein C8orf74
FBX42	FBXO42	F-box only protein 42
KRA55	KRTAP5-5	Keratin-associated protein 5-5
TEDC2	TEDC2	Tubulin epsilon and delta complex protein 2
VASH1	VASH1	Tubulinyl-Tyr carboxypeptidase 1
RM10	MRPL10	39S ribosomal protein L10, mitochondrial
WDFY1	WDFY1	WD repeat and FYVE domain-containing protein 1
SFPA2	SFTPA2	Pulmonary surfactant-associated protein A2
ZZZ3	ZZZ3	ZZ-type zinc finger-containing protein 3
LYPD1	LYPD1	Ly6/PLAUR domain-containing protein 1
MFD4A	MFSD4A	Major facilitator superfamily domain-containing protein 4A
SPEM1	SPEM1	Spermatid maturation protein 1
EID2	EID2	EP300-interacting inhibitor of differentiation 2
OR1J4	OR1J4	Olfactory receptor 1J4
FBX27	FBXO27	F-box only protein 27
RFESD	RFESD	Rieske domain-containing protein
S3TC1	SH3TC1	SH3 domain and tetratricopeptide repeat-containing protein 1
ABHD3	ABHD3	Phospholipase ABHD3
EME1	EME1	Crossover junction endonuclease EME1
MSI2H	MSI2	RNA-binding protein Musashi homolog 2
NALP4	NLRP4	NACHT, LRR and PYD domains-containing protein 4
OR5MB	OR5M11	Olfactory receptor 5M11
KI2L4	KIR2DL4	Killer cell immunoglobulin-like receptor 2DL4
HCD2	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2
MYOC	MYOC	Myocilin
FERM1	FERMT1	Fermitin family homolog 1
RM01	MRPL1	39S ribosomal protein L1, mitochondrial
RM37	MRPL37	39S ribosomal protein L37, mitochondrial
K1C23	KRT23	Keratin, type I cytoskeletal 23
FOXP1	FOXP1	Forkhead box protein P1
ZBTB3	ZBTB3	Zinc finger and BTB domain-containing protein 3
TFB2M	TFB2M	Dimethyladenosine transferase 2, mitochondrial
BCAS3	BCAS3	BCAS3 microtubule associated cell migration factor
RRAGC	RRAGC	Ras-related GTP-binding protein C
LY9	LY9	T-lymphocyte surface antigen Ly-9
SMUF1	SMURF1	E3 ubiquitin-protein ligase SMURF1
KCMB3	KCNMB3	Calcium-activated potassium channel subunit beta-3
ANM7	PRMT7	Protein arginine N-methyltransferase 7
RHG20	ARHGAP20	Rho GTPase-activating protein 20
SE1L1	SEL1L	Protein sel-1 homolog 1
NDOR1	NDOR1	NADPH-dependent diflavin oxidoreductase 1
M2GD	DMGDH	Dimethylglycine dehydrogenase, mitochondrial
FBXL4	FBXL4	F-box/LRR-repeat protein 4
TPX2	TPX2	Targeting protein for Xklp2
EXOC7	EXOC7	Exocyst complex component 7
STA13	STARD13	StAR-related lipid transfer protein 13
PCDAD	PCDHA13	Protocadherin alpha-13
CS2IP	CSNKA2IP	Casein kinase II subunit alpha'-interacting protein
F237B	FAM237B	Protein FAM237B
FOXL3	FOXL3	Forkhead box protein L3
A0A2R8YEG4	OR2A1	Olfactory receptor
GG12J	GAGE12J	G antigen 12J
LIRA5	LILRA5	Leukocyte immunoglobulin-like receptor subfamily A member 5
ZN850	ZNF850	Zinc finger protein 850
CV046	C22orf46	Uncharacterized protein C22orf46
PRA26	PRAMEF26	Putative PRAME family member 26
ITBP1	ITGB1BP1	Integrin beta-1-binding protein 1
GR6	LINC01565	Protein GR6
EMC8	EMC8	ER membrane protein complex subunit 8
KCNQ2	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2
PARN	PARN	Poly(A)-specific ribonuclease PARN
NUD14	NUDT14	Uridine diphosphate glucose pyrophosphatase NUDT14
IBP1	IGFBP1	Insulin-like growth factor-binding protein 1
TRI49	TRIM49	Tripartite motif-containing protein 49
GTR1	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1
XBP1	XBP1	X-box-binding protein 1
CD53	CD53	Leukocyte surface antigen CD53
ITIH1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1
TCO2	TCN2	Transcobalamin-2
PROZ	PROZ	Vitamin K-dependent protein Z
RL13A	RPL13A	60S ribosomal protein L13a
APOC4	APOC4	Apolipoprotein C-IV
ARF3	ARF3	ADP-ribosylation factor 3
HAND2	HAND2	Heart- and neural crest derivatives-expressed protein 2
RL23A	RPL23A	60S ribosomal protein L23a
GAK24	ERVK-24	Endogenous retrovirus group K member 24 Gag polyprotein
RBM10	RBM10	RNA-binding protein 10
KCNC4	KCNC4	Potassium voltage-gated channel subfamily C member 4
AOXA	AOX1	Aldehyde oxidase
LG3BP	LGALS3BP	Galectin-3-binding protein
SIG14	SIGLEC14	Sialic acid-binding Ig-like lectin 14
SNTB2	SNTB2	Beta-2-syntrophin
EI2BA	EIF2B1	Translation initiation factor eIF-2B subunit alpha
ESPL1	ESPL1	Separin
PSF1	GINS1	DNA replication complex GINS protein PSF1
PSME4	PSME4	Proteasome activator complex subunit 4
EXOS7	EXOSC7	Exosome complex component RRP42
ZIC1	ZIC1	Zinc finger protein ZIC 1
MAON	ME3	NADP-dependent malic enzyme, mitochondrial
ZN718	ZNF718	Zinc finger protein 718
ELB3B	ELOA3BP	Elongin-A3 member B
KCD21	KCTD21	BTB/POZ domain-containing protein KCTD21
TM177	TMEM177	Transmembrane protein 177
TDR12	TDRD12	Putative ATP-dependent RNA helicase TDRD12
F162B	FAM162B	Protein FAM162B
CF163	C6orf163	Uncharacterized protein C6orf163
BROX	BROX	BRO1 domain-containing protein BROX
TM214	TMEM214	Transmembrane protein 214
CA094	C1orf94	Uncharacterized protein C1orf94
ZN773	ZNF773	Zinc finger protein 773
DRAM2	DRAM2	DNA damage-regulated autophagy modulator protein 2
PACS1	PACS1	Phosphofurin acidic cluster sorting protein 1
BNC2	BNC2	Zinc finger protein basonuclin-2
FRRS1	FRRS1	Ferric-chelate reductase 1
RGMC	HJV	Hemojuvelin
MICA3	MICAL3	[F-actin]-monooxygenase MICAL3
NUP54	NUP54	Nucleoporin p54
NT2NA	NOTCH2NLA	Notch homolog 2 N-terminal-like protein A
CMKMT	CAMKMT	Calmodulin-lysine N-methyltransferase
ARMD4	ARMH4	Armadillo-like helical domain-containing protein 4
CABP7	CABP7	Calcium-binding protein 7
GKN2	GKN2	Gastrokine-2
ECHD2	ECHDC2	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial
CL056	C12orf56	Uncharacterized protein C12orf56
F177A	FAM177A1	Protein FAM177A1
MS3L1	MSL3	Male-specific lethal 3 homolog
O10G7	OR10G7	Olfactory receptor 10G7
NKX23	NKX2-3	Homeobox protein Nkx-2.3
MUC7	MUC7	Mucin-7
MORC4	MORC4	MORC family CW-type zinc finger protein 4
TM171	TMEM171	Transmembrane protein 171
CSN9	COPS9	COP9 signalosome complex subunit 9
PIBF1	PIBF1	Progesterone-induced-blocking factor 1
TF2H4	GTF2H4	General transcription factor IIH subunit 4
CASPA	CASP10	Caspase-10
MYDGF	MYDGF	Myeloid-derived growth factor
UB2E3	UBE2E3	Ubiquitin-conjugating enzyme E2 E3
APC16	ANAPC16	Anaphase-promoting complex subunit 16
SGTB	SGTB	Small glutamine-rich tetratricopeptide repeat-containing protein beta
ZN845	ZNF845	Zinc finger protein 845
SNX22	SNX22	Sorting nexin-22
SPT32	SPATA32	Spermatogenesis-associated protein 32
F210A	FAM210A	Protein FAM210A
ZN558	ZNF558	Zinc finger protein 558
RDH12	RDH12	Retinol dehydrogenase 12
CASD1	CASD1	N-acetylneuraminate 9-O-acetyltransferase
DUX3	DUX3	Putative double homeobox protein 3
ATP5S	DMAC2L	ATP synthase subunit s, mitochondrial
SELS	SELENOS	Selenoprotein S
DOHH	DOHH	Deoxyhypusine hydroxylase
GPCP1	GPCPD1	Glycerophosphocholine phosphodiesterase GPCPD1
NRN1	NRN1	Neuritin
PFD4	PFDN4	Prefoldin subunit 4
RB22A	RAB22A	Ras-related protein Rab-22A
UBQL1	UBQLN1	Ubiquilin-1
PCDGJ	PCDHGB7	Protocadherin gamma-B7
MYH4	MYH4	Myosin-4
AGAP5	AGAP5	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5
KIF3C	KIF3C	Kinesin-like protein KIF3C
SCAM1	SCAMP1	Secretory carrier-associated membrane protein 1
NVL	NVL	Nuclear valosin-containing protein-like
MFS11	MFSD11	UNC93-like protein MFSD11
NBN	NBN	Nibrin
ZN821	ZNF821	Zinc finger protein 821
RAB36	RAB36	Ras-related protein Rab-36
TOP3B	TOP3B	DNA topoisomerase 3-beta-1
NEU1	OXT	Oxytocin-neurophysin 1
HMGN2	HMGN2	Non-histone chromosomal protein HMG-17
SRF	SRF	Serum response factor
MYH6	MYH6	Myosin-6
GLNA	GLUL	Glutamine synthetase
HSP76	HSPA6	Heat shock 70 kDa protein 6
PYRG1	CTPS1	CTP synthase 1
RXRA	RXRA	Retinoic acid receptor RXR-alpha
EFNA1	EFNA1	Ephrin-A1
MSRE	MSR1	Macrophage scavenger receptor types I and II
MYL9	MYL9	Myosin regulatory light polypeptide 9
BASI	BSG	Basigin
RPB9	POLR2I	DNA-directed RNA polymerase II subunit RPB9
NUP62	NUP62	Nuclear pore glycoprotein p62
RL35	RPL35	60S ribosomal protein L35
GLYG	GYG1	Glycogenin-1
OR1G1	OR1G1	Olfactory receptor 1G1
SYCC	CARS1	Cysteine--tRNA ligase, cytoplasmic
ASCL1	ASCL1	Achaete-scute homolog 1
CDK9	CDK9	Cyclin-dependent kinase 9
SCNND	SCNN1D	Amiloride-sensitive sodium channel subunit delta
AAKG1	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1
HDAC4	HDAC4	Histone deacetylase 4
RL8	RPL8	60S ribosomal protein L8
RL38	RPL38	60S ribosomal protein L38
E2F1	E2F1	Transcription factor E2F1
SRS11	SRSF11	Serine/arginine-rich splicing factor 11
CALD1	CALD1	Caldesmon
ZN543	ZNF543	Zinc finger protein 543
MERTK	MERTK	Tyrosine-protein kinase Mer
STF1	NR5A1	Steroidogenic factor 1
EPHA7	EPHA7	Ephrin type-A receptor 7
P2Y14	P2RY14	P2Y purinoceptor 14
KCNJ8	KCNJ8	ATP-sensitive inward rectifier potassium channel 8
ZBTB6	ZBTB6	Zinc finger and BTB domain-containing protein 6
SFT2C	SFT2D3	Vesicle transport protein SFT2C
FREM1	FREM1	FRAS1-related extracellular matrix protein 1
HENMT	HENMT1	Small RNA 2'-O-methyltransferase
TRAT1	TRAT1	T-cell receptor-associated transmembrane adapter 1
LAYN	LAYN	Layilin
UBP45	USP45	Ubiquitin carboxyl-terminal hydrolase 45
SMIM5	SMIM5	Small integral membrane protein 5
MCM10	MCM10	Protein MCM10 homolog
SSX7	SSX7	Protein SSX7
TMC4	TMC4	Transmembrane channel-like protein 4
SRGP1	SRGAP1	SLIT-ROBO Rho GTPase-activating protein 1
TCPR1	TECPR1	Tectonin beta-propeller repeat-containing protein 1
PRP39	PRPF39	Pre-mRNA-processing factor 39
ITIH5	ITIH5	Inter-alpha-trypsin inhibitor heavy chain H5
BPHL	BPHL	Valacyclovir hydrolase
PAQR7	PAQR7	Membrane progestin receptor alpha
DGKH	DGKH	Diacylglycerol kinase eta
PALB2	PALB2	Partner and localizer of BRCA2
SPA2L	SPATA2L	Spermatogenesis-associated protein 2-like protein
T183A	TMEM183A	Transmembrane protein 183A
PARP8	PARP8	Protein mono-ADP-ribosyltransferase PARP8
ANS4B	ANKS4B	Ankyrin repeat and SAM domain-containing protein 4B
RELL2	RELL2	RELT-like protein 2
OR4E2	OR4E2	Olfactory receptor 4E2
KLK6	KLK6	Kallikrein-6
EXTL1	EXTL1	Exostosin-like 1
ZN669	ZNF669	Zinc finger protein 669
MTBP	MTBP	Mdm2-binding protein
LYZL4	LYZL4	Lysozyme-like protein 4
LPIN3	LPIN3	Phosphatidate phosphatase LPIN3
SYT11	SYT11	Synaptotagmin-11
PTSS2	PTDSS2	Phosphatidylserine synthase 2
IKBZ	NFKBIZ	NF-kappa-B inhibitor zeta
CC90B	CCDC90B	Coiled-coil domain-containing protein 90B, mitochondrial
HPLN2	HAPLN2	Hyaluronan and proteoglycan link protein 2
O51E2	OR51E2	Olfactory receptor 51E2
CI037	ARRDC1-AS1	Uncharacterized protein ARRDC1-AS1
CA198	C1orf198	Uncharacterized protein C1orf198
PG2IP	CWH43	PGAP2-interacting protein
POPD3	POPDC3	Popeye domain-containing protein 3
RAB9B	RAB9B	Ras-related protein Rab-9B
ENY2	ENY2	Transcription and mRNA export factor ENY2
ENTP7	ENTPD7	Ectonucleoside triphosphate diphosphohydrolase 7
GTR9	SLC2A9	Solute carrier family 2, facilitated glucose transporter member 9
C42S1	CDC42SE1	CDC42 small effector protein 1
S6A13	SLC6A13	Sodium- and chloride-dependent GABA transporter 2
STIM2	STIM2	Stromal interaction molecule 2
BAHC1	BAHCC1	BAH and coiled-coil domain-containing protein 1
THA10	THAP10	THAP domain-containing protein 10
EIF3K	EIF3K	Eukaryotic translation initiation factor 3 subunit K
MARCO	MARCO	Macrophage receptor MARCO
YT001	PRO0628	Putative uncharacterized protein PRO0628
PS1C2	PSORS1C2	Psoriasis susceptibility 1 candidate gene 2 protein
CNTN6	CNTN6	Contactin-6
TLN1	TLN1	Talin-1
NUMBL	NUMBL	Numb-like protein
MP3B2	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2
WDR97	WDR97	WD repeat-containing protein 97
AXA2L	ANXA2P2	Putative annexin A2-like protein
SPD16	SPDYE16	Putative speedy protein E16
KR291	KRTAP29-1	Keratin-associated protein 29-1
CP090	C16orf90	Uncharacterized protein C16orf90
U17LK	USP17L20	Ubiquitin carboxyl-terminal hydrolase 17-like protein 20
CCRL2	CCRL2	C-C chemokine receptor-like 2
GOSR2	GOSR2	Golgi SNAP receptor complex member 2
PDCD5	PDCD5	Programmed cell death protein 5
HS3S1	HS3ST1	Heparan sulfate glucosamine 3-O-sulfotransferase 1
FSCN2	FSCN2	Fascin-2
SHOX	SHOX	Short stature homeobox protein
STX7	STX7	Syntaxin-7
INSI1	INSIG1	Insulin-induced gene 1 protein
TGM5	TGM5	Protein-glutamine gamma-glutamyltransferase 5
SNX2	SNX2	Sorting nexin-2
LIRA1	LILRA1	Leukocyte immunoglobulin-like receptor subfamily A member 1
LIPA4	PPFIA4	Liprin-alpha-4
ZN253	ZNF253	Zinc finger protein 253
SURF6	SURF6	Surfeit locus protein 6
PCF11	PCF11	Pre-mRNA cleavage complex 2 protein Pcf11
MBD4	MBD4	Methyl-CpG-binding domain protein 4
LARG1	LARGE1	LARGE xylosyl- and glucuronyltransferase 1
AP2A	TFAP2A	Transcription factor AP-2-alpha
PGFRB	PDGFRB	Platelet-derived growth factor receptor beta
LKHA4	LTA4H	Leukotriene A-4 hydrolase
TFE2	TCF3	Transcription factor E2-alpha
ITB4	ITGB4	Integrin beta-4
BGAT	ABO	Histo-blood group ABO system transferase
RL7	RPL7	60S ribosomal protein L7
ISK2	SPINK2	Serine protease inhibitor Kazal-type 2
MATN1	MATN1	Cartilage matrix protein
KELL	KEL	Kell blood group glycoprotein
UCP1	UCP1	Mitochondrial brown fat uncoupling protein 1
GNA11	GNA11	Guanine nucleotide-binding protein subunit alpha-11
AKT1	AKT1	RAC-alpha serine/threonine-protein kinase
CASPE	CASP14	Caspase-14
MTR1B	MTNR1B	Melatonin receptor type 1B
COMP	COMP	Cartilage oligomeric matrix protein
HXK2	HK2	Hexokinase-2
CLRN1	CLRN1	Clarin-1
AF1Q	MLLT11	Protein AF1q
STX3	STX3	Syntaxin-3
BMPR2	BMPR2	Bone morphogenetic protein receptor type-2
CDKN3	CDKN3	Cyclin-dependent kinase inhibitor 3
AP5B1	AP5B1	AP-5 complex subunit beta-1
MAP9	MAP9	Microtubule-associated protein 9
TAF7L	TAF7L	Transcription initiation factor TFIID subunit 7-like
PCID2	PCID2	PCI domain-containing protein 2
LPCT4	LPCAT4	Lysophospholipid acyltransferase LPCAT4
TCAL6	TCEAL6	Transcription elongation factor A protein-like 6
TTI2	TTI2	TELO2-interacting protein 2
LRC31	LRRC31	Leucine-rich repeat-containing protein 31
TMTC3	TMTC3	Protein O-mannosyl-transferase TMTC3
TLC3B	TLCD3B	Ceramide synthase
CCD80	CCDC80	Coiled-coil domain-containing protein 80
CSN6	COPS6	COP9 signalosome complex subunit 6
CHM1B	CHMP1B	Charged multivesicular body protein 1b
SSX6	SSX6P	Putative protein SSX6
HDX	HDX	Highly divergent homeobox
DZIP1	DZIP1	Zinc finger protein DZIP1
TM139	TMEM139	Transmembrane protein 139
WDR49	WDR49	WD repeat-containing protein 49
LRC8A	LRRC8A	Volume-regulated anion channel subunit LRRC8A
TM192	TMEM192	Transmembrane protein 192
AGRG2	ADGRG2	Adhesion G-protein coupled receptor G2
AF1L2	AFAP1L2	Actin filament-associated protein 1-like 2
GG6L1	GOLGA6L1	Golgin subfamily A member 6-like protein 1
ZN513	ZNF513	Zinc finger protein 513
GOLM1	GOLM1	Golgi membrane protein 1
OR1P1	OR1P1	Olfactory receptor 1P1
OTOSP	OTOS	Otospiralin
IL17D	IL17D	Interleukin-17D
PXL2B	PRXL2B	Prostamide/prostaglandin F synthase
OXER1	OXER1	Oxoeicosanoid receptor 1
SH3R3	SH3RF3	E3 ubiquitin-protein ligase SH3RF3
DNJC9	DNAJC9	DnaJ homolog subfamily C member 9
LCOR	LCOR	Ligand-dependent corepressor
NSE2	NSMCE2	E3 SUMO-protein ligase NSE2
ZSWM3	ZSWIM3	Zinc finger SWIM domain-containing protein 3
CG026	C7orf26	Uncharacterized protein C7orf26
UBL7	UBL7	Ubiquitin-like protein 7
CHCH7	CHCHD7	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7
NUSAP	NUSAP1	Nucleolar and spindle-associated protein 1
PECR	PECR	Peroxisomal trans-2-enoyl-CoA reductase
FHDC1	FHDC1	FH2 domain-containing protein 1
GGNB2	GGNBP2	Gametogenetin-binding protein 2
L2HDH	L2HGDH	L-2-hydroxyglutarate dehydrogenase, mitochondrial
ROP1A	ROPN1	Ropporin-1A
ANLN	ANLN	Anillin
NUA4L	NDUFA4L2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2
FANCL	FANCL	E3 ubiquitin-protein ligase FANCL
UBP25	USP25	Ubiquitin carboxyl-terminal hydrolase 25
DBR1	DBR1	Lariat debranching enzyme
PKHG1	PLEKHG1	Pleckstrin homology domain-containing family G member 1
TBC24	TBC1D24	TBC1 domain family member 24
EDAR	EDAR	Tumor necrosis factor receptor superfamily member EDAR
ADIP	SSX2IP	Afadin- and alpha-actinin-binding protein
LHPL6	LHFPL6	LHFPL tetraspan subfamily member 6 protein
HV335	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35
KV108	IGKV1-8	Immunoglobulin kappa variable 1-8
A0A0G2JRQ6		Ig-like domain-containing protein (Fragment)
YK033		Putative uncharacterized protein FLJ41423
YD021		Putative uncharacterized protein ENSP00000382790
SNG2L		Putative synaptogyrin-2 like protein
F90AC	FAM90A12P	Putative protein FAM90A12P
HNRC2	HNRNPCL2	Heterogeneous nuclear ribonucleoprotein C-like 2
NCTR3	NCR3	Natural cytotoxicity triggering receptor 3
ADA20	ADAM20	Disintegrin and metalloproteinase domain-containing protein 20
DEAF1	DEAF1	Deformed epidermal autoregulatory factor 1 homolog
ZFAN5	ZFAND5	AN1-type zinc finger protein 5
LCA5L	LCA5L	Lebercilin-like protein
CEP43	CEP43	Centrosomal protein 43
HCK	HCK	Tyrosine-protein kinase HCK
CLC2L	CLEC2L	C-type lectin domain family 2 member L
CD28	CD28	T-cell-specific surface glycoprotein CD28
THA	THRA	Thyroid hormone receptor alpha
LOX12	ALOX12	Polyunsaturated fatty acid lipoxygenase ALOX12
MPRD	M6PR	Cation-dependent mannose-6-phosphate receptor
GNLY	GNLY	Granulysin
AT2B4	ATP2B4	Plasma membrane calcium-transporting ATPase 4
EAA3	SLC1A1	Excitatory amino acid transporter 3
PTN9	PTPN9	Tyrosine-protein phosphatase non-receptor type 9
MP2K6	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6
ARFP2	ARFIP2	Arfaptin-2
UBS3A	UBASH3A	Ubiquitin-associated and SH3 domain-containing protein A
T2R45	TAS2R45	Taste receptor type 2 member 45
RS3A	RPS3A	40S ribosomal protein S3a
EXOSX	EXOSC10	Exosome component 10
NSUN2	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2
CTU2	CTU2	Cytoplasmic tRNA 2-thiolation protein 2
T10IP	TSGA10IP	Testis-specific protein 10-interacting protein
YV018		Putative uncharacterized protein DKFZp434K191
TPRGL	TPRG1L	Tumor protein p63-regulated gene 1-like protein
ENPP6	ENPP6	Glycerophosphocholine cholinephosphodiesterase ENPP6
ZY11A	ZYG11A	Protein zyg-11 homolog A
DBX2	DBX2	Homeobox protein DBX2
CC141	CCDC141	Coiled-coil domain-containing protein 141
YS039		Putative uncharacterized protein FLJ26174
YD023		Putative uncharacterized protein FLJ45035
PKHG7	PLEKHG7	Pleckstrin homology domain-containing family G member 7
YP029		Putative uncharacterized protein FLJ46214
YQ032		Putative uncharacterized protein FLJ46089
YF009		Putative uncharacterized protein FLJ45840
MOT12	SLC16A12	Monocarboxylate transporter 12
YT009		Putative uncharacterized protein FLJ44790
YP033		Putative uncharacterized protein FLJ42384
YS043		Putative uncharacterized protein LOC100128429
LCA10	LCA10	Putative lung carcinoma-associated protein 10
GARE2	GAREM2	GRB2-associated and regulator of MAPK protein 2
DDX46	DDX46	Probable ATP-dependent RNA helicase DDX46
CXXC5	CXXC5	CXXC-type zinc finger protein 5
NEGR1	NEGR1	Neuronal growth regulator 1
ARHG8	NET1	Neuroepithelial cell-transforming gene 1 protein
ZN575	ZNF575	Zinc finger protein 575
CNTN4	CNTN4	Contactin-4
DI3L2	DIS3L2	DIS3-like exonuclease 2
TBC21	TBC1D21	TBC1 domain family member 21
ELMD2	ELMOD2	ELMO domain-containing protein 2
ZCHC7	ZCCHC7	Zinc finger CCHC domain-containing protein 7
ZN713	ZNF713	Zinc finger protein 713
ENAH	ENAH	Protein enabled homolog
RETR2	RETREG2	Reticulophagy regulator 2
TM116	TMEM116	Transmembrane protein 116
O11H6	OR11H6	Olfactory receptor 11H6
OR4D5	OR4D5	Olfactory receptor 4D5
YK045		Putative uncharacterized protein LOC644613
TM254	TMEM254	Transmembrane protein 254
YV004		Putative uncharacterized protein FLJ23865
SCRB1	SCARB1	Scavenger receptor class B member 1
SMRD2	SMARCD2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2
SNX21	SNX21	Sorting nexin-21
S39AD	SLC39A13	Zinc transporter ZIP13
VSIG2	VSIG2	V-set and immunoglobulin domain-containing protein 2
YV007		Putative uncharacterized protein MGC15705
LLR1	LRR1	Leucine-rich repeat protein 1
ANM6	PRMT6	Protein arginine N-methyltransferase 6
YV008		Putative uncharacterized protein FLJ32756
YO028		Putative uncharacterized protein LOC100506887
ROBO3	ROBO3	Roundabout homolog 3
YJ006		Putative uncharacterized protein FLJ31958
MED15	MED15	Mediator of RNA polymerase II transcription subunit 15
ERP44	ERP44	Endoplasmic reticulum resident protein 44
THIC	ACAT2	Acetyl-CoA acetyltransferase, cytosolic
JAM3	JAM3	Junctional adhesion molecule C
